Date,Sent To,Ticket ,RTO #,District,Line,Facility,Location,Type,Request,Entered by,Current Status,Completed Date,Comments,,
2/9/2023,Sta Env,5803017,SE230178,1,2,Flatbush Avenue,Crew room - 2 Line Track 3,repair,water line slow leak behind water cooler,JC,completed,2/9/2023,,,
2/9/2023,Sta Env,5825743,SE230179,1,1,242 Street,Men locker room,replace ,light bulbs out,JC,completed,2/12/2023,,,
2/9/2023,Sta Env,5825845,SE230180,3,Q,Stillwell Avenue ,Dispatcher - Tracks 3 & 4,repair,2 broken windows,JC,completed ,4/27/2023,,,
2/9/2023,Sta Env,5802013,SE230181,4,C,Rockaway Park Beach 116 Street,Women locker room,replace ,light bulbs out,JC,completed,2/9/2023,,,
2/9/2023,Vent cleaning,N/A,V23003,1,1,242 Street,Crew facility ,clean ,entire air duct cleaning,JC,,,,,
2/10/2023,MOW,323408,M23041,2,4,Mosholu Yard,Tower,replace ,poor lighting building entrance,JC,completed,4/4/2023,,,
2/10/2023,MOW,211391,M23042,3,D,38 Street Yard,Women restroom ,repair,flushometer leaking,JC,completed,2/15/2023,,,
2/10/2023,Sta Env,5803103,SE230182,5,7,Main Street,Women restroom ,repair,"clogged sink, 1st sink",JC,completed,2/11/2023,,,
2/10/2023,Sta Env,590459,SE230183,3,N,Stillwell Avenue ,Dispatcher restroom,repair,broken flushometer,JC,completed,2/10/2023,,,
2/10/2023,Sta Env,5803132,SE230184,2,4,Utica Avenue ,Locker rooms,replace ,light bulbs out,JC,completed,2/10/2023,,,
2/10/2023,Sta Env,5970106,SE230185,3,R,Forest Hills 71 Street Continental,"Switchman shack - S/E, N/B",install,install new keypad lock,JC,completed ,3/7/2023,,,
2/10/2023,Sta Env,5825771,SE230186,3,N,Stillwell Avenue ,Dispatcher restroom,replace ,light bulbs out,JC,completed,2/12/2023,,,
2/10/2023,Sta Env,N/A,SE230187,5,E,Queensboro Plaza,Tower restroom,repair,exhaust fan not working,JC,referred to MOW,5/19/2023,,,
2/10/2023,Sta Env,58257391/41,SE230188,2,4,Woodlawn ,Dispatcher & Men restroom,replace ,light bulbs out,JC,completed ,2/12/2023,,,
2/10/2023,Sta Env,5803753,SE230189,Trns Ops,Trns Ops,South Ferry Platform Controllers,Men restroom,repair,urinal leaking,JC,completed ,2/14/2023,,,
2/10/2023,Sta Env,5803749,SE230190,1,1,96 Street ,Tower restroom,repair,"sink detaching, leaking from underneath",JC,completed,2/10/2023,,,
2/10/2023,Track,N/A,TK23001,2,4,Mosholu Yard,Tower ,replace ,broken fiberglass walkway,JC,,,,,
2/13/2023,Sta Env,5828964,SE230191,2,4,Woodlawn ,Men restroom ,repair ,clogged urinal ,SP,completed ,2/13/2023,,,
2/13/2023,Sta Env,5828190,SE230192,3,B,145 Street ,Dispatcher office ,repair ,key broke off in the cylinder of the radio cage,SP,completed ,2/13/2023,,,
2/13/2023,Sta Env,5830014,SE230193,4,A,Far Rockaway ,Dispatcher office ,repair ,door is scraping against the floor,SP,completed,2/14/2023,,,
2/14/2023,Sta Env,5830675,SE230194,3,Q,Stillwell Avenue ,Women restroom ,repair ,stall panel is broken and hanging off the hinges,SP,completed,2/14/2023,,,
2/14/2023,Sta Env,N/A,SE230195,3,N,Ditmars Boulevard ,Crew facility ,repair ,"display board hanging from the wall, not secured ",SP,completed,2/15/2023,,,
2/15/2023,MOW,211393,M23043,3,D,38 Street Yard,Tower ,replace ,lights out ,SP,completed,2/27/2023,,,
2/15/2023,MOW,211394,M23044,3,D,Coney Island Yard,Tower ,repair ,door will not stay closed ,SP,completed,3/30/2023,,,
2/15/2023,MOW,211395,M23045,3,R,Forest Hills 71 Street Continental,Emergency exit 415 on track d5,replace ,lights are out ,SP ,completed,10/27/2023,,,
2/15/2023,Sta Env,5830014,SE230196,4,A,Far Rockaway ,Dispatcher office,repair ,hinges are worn off the door ,SP,completed,2/15/2023,,,
2/15/2023,Sta Env,5800837,SE230197,2,3,148 Street ,Crew facility ,repair,electrical outlets not working,SP,completed,2/15/2023,,,
2/15/2023,Sta Env,5847836,SE230198,5,E,World Trade Center ,Women restroom ,replace ,lights are dim ,SP,completed ,2/16/2023,,,
2/15/2023,Sta Env,5853646,SE230199,5,G,Church Avenue,Crew room ,replace ,battery operated paper dispenser is not working ,SP,completed,4/3/2023,,,
2/15/2023,Sta Env,592632,SE230200,2,6,Pelham Bay Park,Crew room,repair ,cylinder on the lock is missing ,SP,completed ,2/16/2023,,,
2/15/2023,Sta Env,5853800,SE230201,3,N,Stillwell Avenue ,Dispatcher office ,repair ,cover is missing off of light switch ,SP,completed,2/15/2023,,,
2/15/2023,Sta Env,5853814,SE230202,3,N,Stillwell Avenue ,Dispatcher restroom,replace ,lights are out ,SP,completed,2/15/2023,,,
2/16/2023,F & S,N/A,F & S,2,6,Pelham Bay Park,Crew room,repair,installed new cylinder,JC,completed by Bill,2/16/2023,,,
2/16/2023,Sta Env,592996,SE230203,3,Q,96 Street 2 Avenue,Men restroom,repair,faucets knobs are broken ,SP,completed,2/19/2023,,,
2/16/2023,Sta Env,5853876,SE230204,5,G,Church Avenue ,Men restroom ,repair,urinal is overflowing ,SP,completed,2/16/2023,,,
2/16/2023,Sta Env,5855488,SE230205,5,E,Parsons Archer ,Women restroom ,repair,not hot water,SP,completed,2/16/2023,,,
2/16/2023,Sta Env,5855699,SE230206,4,A,Lefferts Boulevard,Men locker room ,repair ,urinal flush handle is broken ,SP,completed,2/16/2023,,,
2/16/2023,Sta Env,5855920,SE230207,4,C,168 Street ,Men restroom ,repair ,hot water heater leaking,SP,completed ,2/16/2023,,,
2/16/2023,Vent cleaning,269895,V23004,4,C,Rockaway Park Beach 116 Street,Dispatcher and Crew room,clean ,complete air duct and vent cleaning,JC,completed,2/21/2023,,,
2/17/2023,MOW,211401,M23046 ,3,D,Coney Island Yard,Tower c restroom ,repair ,toilet is not working ,SP,completed,3/30/2023,,,
2/17/2023,MOW,211400,M23047,3,D,38 Street Yard,Men lockeroom,repair,ceiling leak  ,SP,completed,4/20/2023,,,
2/17/2023,MOW,211402,M23048,4,J,East New York Yard,Crew facility,repair,toilet is clogged ,SP ,completed ,3/30/2023,,,
2/17/2023,RCC,,RCC23006,1,1,137 Street Yard ,Track 9 ,reapir ,3 open pits in the yard,SP,,,,,
2/17/2023,Sta Env,5857499,SE230208,5,E,World Trade Center ,Men restroom ,repair ,urinal is constantly running ,SP,completed,2/17/2023,,,
2/17/2023,Sta Env,5857500,SE230209,4,M,Metropolitan Avenue,Dispatcher office ,repair,emergency light fixture test light button is broke  ,SP,completed,2/17/2023,,,
2/21/2023,MOW,211410,M23049,5,7,Corona Yard,"Superintendents office, 4th floor ",replace ,lightbulbs are out ,SP,completed ,3/30/2023,,,
2/21/2023,MOW,211411,M23050,5,7,Corona Yard,Tower ,repair ,electrical outlets not working,SP,completed,3/30/2023,,,
2/21/2023,Sta Env,5883117,SE230210,3,N,Ditmars Boulevard ,Crew room ,repair ,sink is leaking ,SP ,completed,2/22/2023,,,
2/22/2023,MOW,211412,M23051,3,D,38 Street Yard,Storage room,install,permanent power outlet need to be installed ,SP,completed ,3/30/2023,,,
2/22/2023,MOW,211413,M23052,3,D,38 Street Yard,Men restroom,repair,automatic hand dispenser is broken ,SP,completed ,3/1/2023,,,
2/22/2023,MOW,211414,M23053,1,2,Flatbush Avenue Annex ,Crew Reporting Center ,repair ,sink is clogged up,SP,completed ,3/30/2023,,,
2/22/2023,Sta Env,5893562,SE230211,5,7,Main Street,Dispatchers office,repair,door slamming,SP,completed,2/22/2023,,,
2/22/2023,Sta Env,597399,SE230212,1,2,241 Street ,Men restroom,repair,clogged sink ,SP,completed,3/23/2023,,,
2/22/2023,Sta Env,597403,SE230213,1,5,East 180 Street,Dispatchers office,replace ,broken window,SP,completed,3/15/2023,,,
2/22/2023,Sta Env,597301,SE230214,3,B,145 Street ,Men restroom,repair,faucet handle is broken ,SP,completed,2/22/2023,,,
2/22/2023,Sta Env,5895220,SE230215,3,D,Bedford Park Boulevard ,Dispatchers office,install ,install deadbolt lock on dispatchers door ,SP ,completed ,2/23/2023,,,
2/23/2023,MOW,323430,M23054,1,5,Unionport Yard ,Women restroom ,repair ,toilet is hard to flush ,SP,completed ,3/30/2023,,,
2/23/2023,MOW,323431,M23055,1,5,Unionport Yard ,Women restroom ,repair ,damaged ceiling tiles ,SP,completed ,3/26/2023,,,
2/23/2023,MOW,323430,M23056,1,5,Unionport Yard ,Men restroom ,repair,flushometer leaking,SP,completed ,3/30/2023,,,
2/23/2023,Quench,N/A,Q23004,3,R,Forest Hills 71 Street Continental,Tower ,install,Replace cooler #Q023407 (RUSTED),JC,,,,,
2/23/2023,RCC,470464,RCC23007,4,M,Fresh Pond Yard,Track 8,remove ,3rd rail protection board between running rails,JC,completed,2/23/2023,,,
2/23/2023,RCC,470470,RCC23008,4,M,Fresh Pond Yard,Walkway,replace ,broken fiberglass walkway,JC,completed,2/24/2023,,,
2/23/2023,Sta Env,5895583,SE230216,4,J,Parsons Archer ,Crew facility ,repair ,paint facility ,SP,completed ,6/19/2023,,,
2/23/2023,Sta Env,5895969,SE230217,4,J,Broad Street,Dispatcher office ,install ,install keypad/combination lock ,JC,completed,2/23/2023,,,
2/23/2023,Sta Env,N/A,SE230218,3,B,145 Street ,Men & Women restrooms and locker rooms,paint ,paint restrooms and locker rooms,JC,closed,11/30/2023,,,
2/24/2023,F & S,N/A,F & S,1,1,South Ferry ,,replace ,replaced broken hand towel dispenser,JC,completed by Jose,2/24/2023,,,
2/24/2023,F & S,N/A,F & S,4,A,207 Street,Dispatcher office,install,drilled holes for new Quench cooler install,JC,completed by Jose,2/24/2023,,,
2/24/2023,F & S,N/A,F & S,3,B,145 Street ,Dispatcher office,install,drilled holes for new Quench cooler install,JC,completed by Jose,2/24/2023,,,
2/24/2023,F & S,N/A,F & S,4,A,59 Street,Tower,repair,adjusted new tower chairs,JC,completed by Jose,2/24/2023,,,
2/24/2023,F & S,N/A,F & S,3,Q,Stillwell Avenue ,Superintendent office & conference room,install,installed window blinds,JC,completed by Jose,2/24/2023,,,
2/24/2023,F & S,N/A,F & S,3,Q,Stillwell Avenue ,Superintendent office & conference room,repair,"reconfigure desks, organized wiring",JC,completed by Jose,2/24/2023,,,
2/24/2023,F & S,N/A,F & S,3,B,Brighton Beach ,Dispatcher office,clean ,deep cleaning,JC,completed by Jose,2/24/2023,,,
2/24/2023,F & S,N/A,F & S,4,A,Jay Street,Dispatcher office,clean ,deep cleaning,JC,completed by Jose,2/24/2023,,,
2/24/2023,F & S,N/A,F & S,5,E,World Trade Center ,Dispatcher office and restrooms,clean ,deep cleaning,JC,completed by Jose,2/24/2023,,,
2/24/2023,Iron,N/A,IW23001,2,3,Livonia Yard,Gate entrance,install,install steel plates to gate for lock install,JC,completed ,5/1/2023,,,
2/24/2023,MOW,211420,M23057,Crew Off,Crew Off,Jackson Avenue ,Men restroom,repair," toilet not flushing, loose toilet seats",JC,completed ,3/30/2023,,,
2/24/2023,MOW,211421,M23058,1,2,Flatbush Avenue Annex ,Crew Reporting Center ,replace ,broken floor tiles near window,JC,completed ,6/2/2023,,,
2/24/2023,MOW,211423,M23059,4,M,Fresh Pond Yard,Switchman shack,repair,water leak inside light fixture,JC,completed,7/20/2023,,,
2/24/2023,MOW,211422,M23060,4,M,Fresh Pond Yard,Switchman shack,repair,lock not working,JC,completed,3/9/2023,,,
2/24/2023,MOW,211424,M23061,4,L,Canarsie Rockaway Parkway,Spur track,replace ,"stringer lights fell down, lighting needed at block end",JC,completed,2/7/2024,,,
2/24/2023,Sta Env,5896774,SE230219,1,2,241 Street,Dispatcher office,repair,door check falling down,JC,completed,2/24/2023,,,
2/24/2023,Sta Env,N/A,SE230220,3,B,Brighton Beach ,Dispatcher restroom,repair,flushometer leaking,JC,completed,2/24/2023,,,
2/24/2023,Sta Env,598835,SE230221,2,4,Woodlawn ,Dispatcher office,install,install mirror,JC,completed,6/15/2023,,,
2/24/2023,Sta Env,5897485,SE230222,4,A,14 Street 8 Avenue,Women restroom ,replace ,toilet seat unstable,SP,completed ,2/24/2023,,,
2/24/2023,Sta Env,5899118,SE230223,4,A,14 Street 8 Avenue,Superintendent office & foyer area,replace ,lightbulbs are out ,SP,completed ,2/26/2023,,,
2/24/2023,Sta Env,N/A,SE230224,4,A,14 Street 8 Avenue,Superintendent office,replace ,light fixture covers broken or missing,SP,completed,1/22/2024,,,
2/24/2023,Sta Env,5897584,SE230225,4,M,Essex Street,Tower,repair,loose floor tiles,,completed,2/24/2023,,,
2/24/2023,Sta Env,5896897,SE230226,4,A,Far Rockaway ,Men locker room & Crew room,repair,heaters not working,JC,completed,2/24/2023,,,
2/24/2023,Sta Env,6379849,SE230227,4,A,Far Rockaway ,Crew room,install,missing light cover,JC,completed,4/29/2023,,,
2/24/2023,Sta Env,6009298,SE230228,4,A ,207 Street,Men restroom - Mezzanine Level,repair,cold water faucet knob loose and spins,JC,completed,3/8/2023,,,
2/27/2023,EMD,560137,EMD23011,5,E,Parsons Archer,CRC,repair,digital clock detaching from wall,JC,,,,,
2/27/2023,Quench,82119378,Q23005,4,C,Rockaway Park Beach 116 Street,Dispatcher office,replace ,replace filter #Q0087902,JC,,,,,
2/27/2023,Sta Env,5921619,SE230229,5,E,Parsons Archer ,Women restroom ,repair ,hot water faucet is broken ,SP,completed,3/5/2023,,,
2/27/2023,Sta Env,5923972,SE230230,3,Q,96 Street 2 Avenue,Men restroom,repair,faucet is broken,SP,completed ,2/28/2023,,,
3/1/2023,EMD,560551,EMD23012,4,A,59 Street,Tower,repair,buzzing sound on phone line 212-424-4100,JC,completed,4/1/2023,,,
3/1/2023,EMD,560554,EMD23013,4,A,59 Street,Tower,repair,buzzing sound on phone line 212-424-4099,JC,completed,4/1/2023,,,
3/1/2023,EMD,560561,EMD23014,4,A,59 Street,Tower,repair,buzzing sound on phone line 212-424-4098,JC,completed,4/1/2023,,,
3/1/2023,MOW,211430,M23062,Crew Off,Crew Off,Jackson Avenue ,Women restroom and Lounge area,install,"install 4 outlets, 1 in restroom, 3 in lounge",JC,completed,5/3/2023,,,
3/1/2023,MOW,323443,M23063,3,D,Concourse Yard,Men restroom & Crew room,repair,"foul odor, ejector issues, broken pipe",JC,completed,3/2/2023,,,
3/1/2023,MOW,323444,M23064,2,4,Mosholu Yard,Crew room,repair,"no hot water, no heat",JC,completed ,3/30/2023,,,
3/1/2023,Sta Env,5963926,SE230231,4,A,Far Rockaway ,Men locker room ,repair ,locker #47 swings out and does not stay closed ,SP,completed,3/2/2023,,,
3/1/2023,Sta Env,600468,SE230232,3,B,145 Street ,Men restroom,repair ,waterspout came off the faucet,SP,completed,3/1/2023,,,
3/1/2023,Sta Env,5963110,SE230233,2,6,125 Street Lexington Avenue,Dispatcher office,repair,door check falling down,JC,completed,3/1/2023,,,
3/1/2023,Sta Env,5963138,SE230234,3,N,Ditmars Boulevard ,Men restroom,repair ,sink is clogged up,JC,completed,3/1/2023,,,
3/1/2023,Sta Env,5963116,SE230235,3,N,Ditmars Boulevard ,Crew room trailer,repair,screws in doors strike plate is broken,JC,completed,3/16/2023,,,
3/1/2023,Sta Env,5963147,SE230236,4,A,Far Rockaway ,Dispatcher office ,install ,install new keypad lock,JC,completed,3/1/2023,,,
3/1/2023,Sta Env,5965700,SE230237,2,6,Pelham Bay Park,Crew room,repair,clogged sink ,JC,completed,3/1/2023,,,
3/2/2023,Sta Env,5965506,SE230238,4,C,Rockaway Park Beach 116 Street,Dispatcher,repair,broken door lock and door slamming,JC,completed,3/2/2023,,,
3/2/2023,Sta Env,5967262,SE230239,Trns Ops,Trns Ops,Queens Plaza Platform controllers,Crew facility,repair,door lock intermittently not working,JC,completed,3/2/2023,,,
3/2/2023,Sta Env,5967358,SE230240,4,A,Far Rockaway ,Dispatcher ,install,install door saddle or door sweep,JC,completed,3/10/2023,,,
3/2/2023,Sta Env,5967368,SE230241,3,Q,96 Street 2 Avenue,"Dispatcher, Service access & Scrub rooms",repair,"ejector issues, water condition",JC,completed,3/2/2023,,,
3/2/2023,Sta Env,5967731,SE230242,3,B,Brighton Beach ,Dispatcher restroom,repair,clogged toilet and overflowing,JC,completed,3/5/2023,,,
3/3/2023,F & S,N/A,F & S,4,C,Rockaway Park Beach 116 Street,Tower,install,installed window tint for sun glare,JC,completed by Jose,3/3/2023,,,
3/3/2023,F & S,N/A,F & S,3,D,Coney Island Yard,Crew Facility,delivered,delivered stackable chairs,JC,completed by Jose,3/3/2023,,,
3/3/2023,F & S,N/A,F & S,2,3,New Lots Avenue,Crew and Women restroom,replace,changed lock batteries,JC,completed by Jose,3/3/2023,,,
3/3/2023,MOW,323445,M23065,2,6,Westchester Yard,Men restroom,repair,2 toilets not flushing,JC,completed ,3/30/2023,,,
3/3/2023,MOW,211436,M23066,3,D,Coney Island Yard,"Tower B - Men restroom, 2nd fl",repair,loose toilet seat,JC,completed ,3/30/2023,,,
3/3/2023,MOW,211435,M23067,3,D,Coney Island Yard,Tower B - Unisex restroom,install,install new hand towel dispenser,JC,completed ,3/30/2023,,,
3/3/2023,MOW,211437,M23068,3,D,38 Street Yard,Superintendent office - room 207,repair,gap in wall between disp and supt offices,JC,completed ,4/22/2023,,,
3/3/2023,Sta Env,5969828,SE230243,3,N,Ditmars Boulevard ,Dispatcher restroom,repair,low pressure at toilet,JC,completed,3/4/2023,,,
3/3/2023,Sta Env,N/A,SE230244,5,F,179 Street,Men restroom,repair,"no hot water, no heat",JC,completed,5/1/2023,,,
3/3/2023,Sta Env,5969590,SE230245,4,M,Essex Street,Employee restrooms,repair,"water condition, ejector shut off",JC,completed,3/3/2023,,,
3/3/2023,Sta Env,N/A,SE230246,4,A,Far Rockaway ,Dispatcher ,replace ,broken window,JC,closed unfounded,4/11/2023,,,
3/3/2023,Sta Env,6071053,SE230247,4,A,Far Rockaway ,Crew room,repair,exit sign not illuminating,JC,completed,3/17/2023,,,
3/3/2023,Sta Env,5971415,SE230248,4,C,Rockaway Park Beach 116 Street,Men locker room,repair,3 heaters not working,JC,completed,3/4/2023,,,
3/6/2023,MOW,211439,M23069,2,3,Livonia Yard,Superintendent ,repair,ceiling leak ,JC,"completed, drip pans installed ",,,,
3/6/2023,Quench,N/A,Q23006,2,3,New Lots Avenue,Dispatcher office,repair,Q0621254 no water dispensing,JC,completed,4/1/2023,,,
3/6/2023,Sta Env,5993741,SE230249,3,N,57 Street 7 Avenue,Tower,repair,wall heater not working,JC,completed,3/6/2023,,,
3/6/2023,Sta Env,5992511,SE230250,1,2,241 Street,Women restroom,repair,toilet leak,JC,completed,3/6/2023,,,
3/6/2023,Sta Env,5995974,SE230251,1,2,Flatbush Avenue,Dispatcher office,repair,door handle hanging down,JC,completed,3/7/2023,,,
3/6/2023,Sta Env,6012007,SE230252,2,5,Dyre Avenue,Crew room,repair,"door hinges loose, door misaligned",JC,completed,3/10/2023,,,
3/6/2023,Sta Env,5993747,SE230253,5,F,34 Street Master Tower,Men locker room & corridor,replace,light bulbs out,JC,completed,3/6/2023,,,
3/6/2023,Sta Env,5971555,SE230254,3,N,Ditmars Boulevard ,Women restroom,repair,ceiling leak at entrance doorway,JC,completed,8/24/2023,,,
3/6/2023,Sta Env,5993820,SE230255,3,Q,Stillwell Avenue ,Dispatcher office,repair,water leak at back wall ,JC,completed,3/6/2023,,,
3/6/2023,Sta Env,N/A,SE230256,4,J,Broad Street,Women restroom ,repair,toilet leaking,JC,completed,3/6/2023,,,
3/8/2023,Quench,N/A,Q23007,3,D,Bedford Park Boulevard ,Dispatcher office,repair,metallic taste in water (3 units),DDV,completed ,3/17/2023,,,
3/9/2023,Exterminator,N/A,E23013,3,B,Brighton Beach ,Dispatcher office,removal,"remove dead pigeon inside light fixture, given to Stations",JC,closed,3/9/2023,,,
3/10/2023,Sta Env,6012532,SE230257,1,2,Flatbush Avenue,Men restroom,repair ,urinal is clogged ,SP,completed,3/10/2023,,,
3/10/2023,Sta Env,605483,SE230258,3,D,Bedford Park Boulevard ,Crew Facility ,repair,janitor closet slop sink is leaking ,SP,completed,3/22/2023,,,
3/10/2023,Sta Env,6034794,SE230259,3,B,145 Street ,Dispatchers office,repair,broken piece of cement ,SP,completed,3/12/2023,,,
3/13/2023,Exterminator,N/A,E23014,3,Q,Prospect Park,Crew facility,exterminate,raccoons,JC,completed,3/30/2023,,,
3/13/2023,MOW,211449,M23070,2,3,Livonia Yard,Crew room,repair,loose doorknob ,SP,completed,5/3/2023,,,
3/13/2023,Sta Env,6039033,SE230260,5,7,Main Street,Dispatchers office,install,install a new keypad/combination lock ,JC,completed,3/30/2023,,,
3/13/2023,Sta Env,605563,SE230261,1,5,Dyre Avenue,Men restroom,repair,door slamming very hard ,JC,completed,3/14/2023,,,
3/13/2023,Sta Env,605491,SE230262,3,B,145 Street ,Crew facility ,install ,install water line ,JC,completed ,4/13/2023,,,
3/13/2023,Sta Env,6037119,SE230263,2,4,Utica Avenue ,Tower ,repair ,door not staying locked or closed ,JC,completed,3/13/2023,,,
3/13/2023,Sta Env,6035989,SE230264,4,C,Euclid Avenue ,Tower ,repair ,entrance door lock is not locking ,SP,completed,3/24/2023,,,
3/13/2023,Sta Env,6143612,SE230265,1,1,137 Street,Tower ,install ,install door sweeps ,SP,completed ,3/27/2023,,,
3/13/2023,Sta Env,606046,SE230266,1,1,137 Street ,Tower ,repair ,strike plate to the door is missing ,SP,completed,3/27/2023,,,
3/13/2023,Sta Env,N/A,SE230267,3,D,Bedford Park Boulevard ,Gate 2G63,repair,"door lock not allowing exit or entrance, lock spins",JC,completed,3/20/2023,,,
3/13/2023,Sta Env,6039099,SE230268,5,E,Parsons Archer ,Superintendents office,replace ,florescent lights are out ,SP,completed,3/14/2023,,,
3/15/2023,MOW,211455,M23071,5,7,Corona Yard,Tower ,repair,kitchenette sink is clogged up,SP,completed ,3/30/2023,,,
3/15/2023,MOW,323460,M23072,2,6,Westchester Yard,School car class room ,repair ,window is hanging ,SP,completed,5/23/2023,,,
3/15/2023,Sta Env,6062034,SE230269,5,G,Court Square,Superintendents office ,repair ,floor drain is broken ,SP,completed,3/19/2023,,,
3/15/2023,Sta Env,6062235,SE230270,1,2,241 Street,Dispatchers office,repair ,door mechanism missing nuts screws and bolts,SP,completed,3/15/2023,,,
3/15/2023,Sta Env,6062320,SE230271,2,4,Utica Avenue ,Tower ,repair ,ceiling leak ,SP,completed,3/19/2023,,,
3/15/2023,Sta Env,606520,SE230272,4,A,207 Street ,Women restroom ,repair ,toilet leak ,SP,completed,4/3/2023,,,
3/16/2023,Sta Env,6069297,SE230273,4,L,Canarsie Rockaway Parkway,Men restroom,repair,clogged toilet,JC,completed,3/16/2023,,,
3/16/2023,Sta Env,6071454,SE230274,5,E,Parsons Archer,Crew room - Room R278-251,repair,tripped circuit breaker,JC,completed,3/17/2023,,,
3/16/2023,Sta Env,6071053,SE230275,4,A,Far Rockaway ,Crew room & Locker rooms,repair,3 exit signs not illuminating,JC,completed,3/17/2023,,,
3/16/2023,Sta Env,6071049,SE230276,4,A,Far Rockaway ,Dispatcher,repair,1 exit sign not illuminating,JC,completed,4/4/2023,,,
3/17/2023,MOW,211457,M23073,3,D,38 Street Yard,Parking lot,repair,water main cover raised,JC,completed,3/28/2023,,,
3/17/2023,MOW,211460,M23074,2,3,New Lots Avenue,Women restroom,repair,toilet leaking from base,SP,completed ,,,,
3/17/2023,Sta Env,6071088,SE230277,2,6,Parkchester ,Crew room,repair,door lock not working,JC,completed,3/17/2023,,,
3/17/2023,Sta Env,6071190,SE230278,5,E,Parsons Archer,Restroom,repair,no hot water,JC,completed,3/17/2023,,,
3/17/2023,Sta Env,6071081,SE230279,2,6,Pelham Bay Park,Dispatcher & Communication room,repair,threshold plates lifting,JC,completed,3/17/2023,,,
3/17/2023,Sta Env,6071266,SE230280,4,J,Broadway Junction,Restroom,repair,lights out,SP,completed,3/21/2023,,,
3/17/2023,Sta Env,7915890,SE230281,1,1,242 Street,Men restroom,repair,2 broken toilet tissue dispensers,JC,completed,9/13/2023,,,
3/17/2023,Sta Env,608027,SE230282,2,4,Grand Central ,Superintendent restroom,repair,door lock not locking,JC,completed,3/22/2023,,,
3/17/2023,Sta Env,6097719,SE230283,2,4,Grand Central ,Scrubber room ,repair,lights out,JC,completed,3/21/2023,,,
3/17/2023,Sta Env,608030,SE230284,2,4,Grand Central ,Men Restroom ,repair,urinal not flushing,JC,completed,3/21/2023,,,
3/20/2023,F & S,N/A,F & S,4,A,207 Street,Crew room - Mezzanine Level,install,installed exit signs,JC,completed by Tyler,3/20/2023,,,
3/20/2023,F & S,N/A,F & S,3,N,Stillwell Avenue ,Dispatcher office,replace,switched shades to block sunlight,JC,completed by Jose,3/20/2023,,,
3/20/2023,F & S,N/A,F & S,Crew Off,Crew Off,Jackson Avenue,CAS,repair,clogged sink,JC,completed by Jose,3/20/2023,,,
3/20/2023,F & S,N/A,F & S,Crew Off,Crew Off,Jackson Avenue,CAS,replace,replaced ceiling tiles,JC,completed by Jose,3/20/2023,,,
3/20/2023,F & S,N/A,F & S,4,A,Liberty Junction,Tower,replace,replace window blinds,JC,completed by Jose,,,,
3/20/2023,MOW,211464,M23075,4,J,East New York Yard,Women restroom,repair,clogged sink,SP,completed ,3/30/2023,,,
3/20/2023,MOW,211471,M23076,5,7,Corona Yard,Kitchen - 4th floor,repair,sink is leaking ,SP,completed ,3/30/2023,,,
3/20/2023,MOW,211472,M23077,2,3,Livonia Yard,"N/E Track 1, A track and Track 3",replace,rotted wood walkway,SP,completed,4/1/2024,,,
3/20/2023,MOW,323464,M23078,1,2,239 Street Yard,Tower restroom,replace,light bulbs out,SP,completed,3/21/2023,,,
3/20/2023,RCC,N/A,RCC23009,4,A,Beach 44 Street,"S/E, N/B Platform",repair,platform edge broken,JC,completed,3/21/2023,,,
3/20/2023,Sta Env,6095357,SE230285,5,7,Main Street,Men restroom,repair,"clogged toilet, constantly running",SP,completed,3/20/2023,,,
3/20/2023,Sta Env,N/A,SE230286,Trns Ops,Trns Ops,Queens Plaza Platform controllers,Crew Reporting Center ,repair,clock hanging from wall,SP,referred to EMD,3/1/2023,,,
3/20/2023,Sta Env,6112664,SE230287,4,A,42 Street 8 Avenue,Tower restroom,replace,light bulbs out,SP,completed,3/22/2023,,,
3/20/2023,Sta Env,6097199,SE230288,4,J,Parsons Archer,Men restroom,repair,clogged sink,SP,completed,3/21/2023,,,
3/21/2023,F & S,N/A,F & S,3,Q,Stillwell Avenue ,Supt. office,replace ,replace window blinds,JC,completed by Jose,,,,
3/21/2023,F & S,N/A,F & S,3,Q,Stillwell Avenue ,Supt. office,install,installed kick plates to doors,JC,completed by Jose,,,,
3/21/2023,Sta Env,6097280,SE230289,2,6,Parkchester ,Women restroom,repair,door misaligned,JC,completed,3/21/2023,,,
3/21/2023,Sta Env,6097214,SE230290,5,F,179 Street,Tower restroom,repair,crack in sink & leaking,JC,completed,3/26/2023,,,
3/21/2023,Sta Env,6097527,SE230291,Sub C,Sub C,Prospect Park Flagging Quarters ,Restrooms,repair,no hot water,JC,completed,3/21/2023,,,
3/21/2023,Sta Env,6071266,SE230292,4,J,Broadway Junction,Dispatcher office,repair,lights out,JC,completed,3/21/2023,,,
3/21/2023,Sta Env,6109154,SE230293,1,2,149 Street Mott Avenue,Track Department,repair,cracked floor tiles and concrete flooring,JC,completed,3/23/2023,,,
3/21/2023,Sta Env,6097780,SE230294,Trns Ops,Trns Ops,Queens Plaza Platform controllers,Crew facility ,repair,door misaligned,JC,completed,3/26/2023,,,
3/21/2023,Sta Env,6109422,SE230295,1,5,Dyre Avenue,Crew facility,repair,door not closing properly,JC,completed,3/22/2023,,,
